Estado,Sesión,Fecha,Dia_Semana,Hora_Sorteo,Fijo
FL,Midday,2018-01-18,Thursday,13:34,85.0
NY,Midday,2018-01-18,Thursday,14:30,10.0
GA,Evening,2018-01-18,Thursday,19:00,37.0
FL,Evening,2018-01-18,Thursday,21:50,11.0
NY,Evening,2018-01-18,Thursday,22:30,55.0
GA,Night,2018-01-18,Thursday,23:34,95.0
GA,Midday,2018-01-19,Friday,12:30,37.0
FL,Midday,2018-01-19,Friday,13:34,36.0
NY,Midday,2018-01-19,Friday,14:30,93.0
GA,Evening,2018-01-19,Friday,19:00,85.0
FL,Evening,2018-01-19,Friday,21:50,20.0
NY,Evening,2018-01-19,Friday,22:30,40.0
GA,Night,2018-01-19,Friday,23:34,12.0
GA,Midday,2018-01-20,Saturday,12:30,45.0
FL,Midday,2018-01-20,Saturday,13:34,76.0
NY,Midday,2018-01-20,Saturday,14:30,41.0
GA,Evening,2018-01-20,Saturday,19:00,7.0
FL,Evening,2018-01-20,Saturday,21:50,60.0
NY,Evening,2018-01-20,Saturday,22:30,41.0
GA,Night,2018-01-20,Saturday,23:34,18.0
GA,Midday,2018-01-21,Sunday,12:30,6.0
FL,Midday,2018-01-21,Sunday,13:34,91.0
NY,Midday,2018-01-21,Sunday,14:30,4.0
GA,Evening,2018-01-21,Sunday,19:00,32.0
FL,Evening,2018-01-21,Sunday,21:50,64.0
NY,Evening,2018-01-21,Sunday,22:30,16.0
GA,Night,2018-01-21,Sunday,23:34,87.0
GA,Midday,2018-01-22,Monday,12:30,27.0
FL,Midday,2018-01-22,Monday,13:34,51.0
NY,Midday,2018-01-22,Monday,14:30,50.0
GA,Evening,2018-01-22,Monday,19:00,9.0
FL,Evening,2018-01-22,Monday,21:50,33.0
NY,Evening,2018-01-22,Monday,22:30,28.0
GA,Night,2018-01-22,Monday,23:34,25.0
GA,Midday,2018-01-23,Tuesday,12:30,49.0
FL,Midday,2018-01-23,Tuesday,13:34,52.0
NY,Midday,2018-01-23,Tuesday,14:30,24.0
GA,Evening,2018-01-23,Tuesday,19:00,15.0
FL,Evening,2018-01-23,Tuesday,21:50,65.0
NY,Evening,2018-01-23,Tuesday,22:30,96.0
GA,Night,2018-01-23,Tuesday,23:34,79.0
GA,Midday,2018-01-24,Wednesday,12:30,20.0
FL,Midday,2018-01-24,Wednesday,13:34,49.0
NY,Midday,2018-01-24,Wednesday,14:30,55.0
GA,Evening,2018-01-24,Wednesday,19:00,16.0
FL,Evening,2018-01-24,Wednesday,21:50,41.0
NY,Evening,2018-01-24,Wednesday,22:30,21.0
GA,Night,2018-01-24,Wednesday,23:34,10.0
GA,Midday,2018-01-25,Thursday,12:30,35.0
FL,Midday,2018-01-25,Thursday,13:34,12.0
NY,Midday,2018-01-25,Thursday,14:30,23.0
GA,Evening,2018-01-25,Thursday,19:00,84.0
FL,Evening,2018-01-25,Thursday,21:50,54.0
NY,Evening,2018-01-25,Thursday,22:30,86.0
GA,Night,2018-01-25,Thursday,23:34,2.0
GA,Midday,2018-01-26,Friday,12:30,73.0
FL,Midday,2018-01-26,Friday,13:34,77.0
NY,Midday,2018-01-26,Friday,14:30,25.0
GA,Evening,2018-01-26,Friday,19:00,54.0
FL,Evening,2018-01-26,Friday,21:50,86.0
NY,Evening,2018-01-26,Friday,22:30,86.0
GA,Night,2018-01-26,Friday,23:34,80.0
GA,Midday,2018-01-27,Saturday,12:30,76.0
FL,Midday,2018-01-27,Saturday,13:34,0.0
NY,Midday,2018-01-27,Saturday,14:30,24.0
GA,Evening,2018-01-27,Saturday,19:00,6.0
FL,Evening,2018-01-27,Saturday,21:50,48.0
NY,Evening,2018-01-27,Saturday,22:30,32.0
GA,Night,2018-01-27,Saturday,23:34,14.0
GA,Midday,2018-01-28,Sunday,12:30,5.0
FL,Midday,2018-01-28,Sunday,13:34,8.0
NY,Midday,2018-01-28,Sunday,14:30,63.0
GA,Evening,2018-01-28,Sunday,19:00,8.0
FL,Evening,2018-01-28,Sunday,21:50,19.0
NY,Evening,2018-01-28,Sunday,22:30,10.0
GA,Night,2018-01-28,Sunday,23:34,3.0
GA,Midday,2018-01-29,Monday,12:30,27.0
FL,Midday,2018-01-29,Monday,13:34,95.0
NY,Midday,2018-01-29,Monday,14:30,21.0
GA,Evening,2018-01-29,Monday,19:00,15.0
FL,Evening,2018-01-29,Monday,21:50,27.0
NY,Evening,2018-01-29,Monday,22:30,61.0
GA,Night,2018-01-29,Monday,23:34,9.0
GA,Midday,2018-01-30,Tuesday,12:30,41.0
FL,Midday,2018-01-30,Tuesday,13:34,53.0
NY,Midday,2018-01-30,Tuesday,14:30,39.0
GA,Evening,2018-01-30,Tuesday,19:00,64.0
FL,Evening,2018-01-30,Tuesday,21:50,70.0
NY,Evening,2018-01-30,Tuesday,22:30,91.0
GA,Night,2018-01-30,Tuesday,23:34,51.0
GA,Midday,2018-01-31,Wednesday,12:30,8.0
FL,Midday,2018-01-31,Wednesday,13:34,45.0
NY,Midday,2018-01-31,Wednesday,14:30,97.0
GA,Evening,2018-01-31,Wednesday,19:00,47.0
FL,Evening,2018-01-31,Wednesday,21:50,66.0
NY,Evening,2018-01-31,Wednesday,22:30,92.0
GA,Night,2018-01-31,Wednesday,23:34,61.0
GA,Midday,2018-02-01,Thursday,12:30,4.0
FL,Midday,2018-02-01,Thursday,13:34,96.0
NY,Midday,2018-02-01,Thursday,14:30,85.0
GA,Evening,2018-02-01,Thursday,19:00,64.0
FL,Evening,2018-02-01,Thursday,21:50,38.0
NY,Evening,2018-02-01,Thursday,22:30,31.0
GA,Night,2018-02-01,Thursday,23:34,42.0
GA,Midday,2018-02-02,Friday,12:30,11.0
FL,Midday,2018-02-02,Friday,13:34,13.0
NY,Midday,2018-02-02,Friday,14:30,61.0
GA,Evening,2018-02-02,Friday,19:00,31.0
FL,Evening,2018-02-02,Friday,21:50,30.0
NY,Evening,2018-02-02,Friday,22:30,84.0
GA,Night,2018-02-02,Friday,23:34,58.0
GA,Midday,2018-02-03,Saturday,12:30,21.0
FL,Midday,2018-02-03,Saturday,13:34,26.0
NY,Midday,2018-02-03,Saturday,14:30,52.0
GA,Evening,2018-02-03,Saturday,19:00,80.0
FL,Evening,2018-02-03,Saturday,21:50,4.0
NY,Evening,2018-02-03,Saturday,22:30,77.0
GA,Night,2018-02-03,Saturday,23:34,53.0
GA,Midday,2018-02-04,Sunday,12:30,40.0
FL,Midday,2018-02-04,Sunday,13:34,91.0
NY,Midday,2018-02-04,Sunday,14:30,50.0
GA,Evening,2018-02-04,Sunday,19:00,56.0
FL,Evening,2018-02-04,Sunday,21:50,33.0
NY,Evening,2018-02-04,Sunday,22:30,40.0
GA,Night,2018-02-04,Sunday,23:34,14.0
GA,Midday,2018-02-05,Monday,12:30,88.0
FL,Midday,2018-02-05,Monday,13:34,11.0
NY,Midday,2018-02-05,Monday,14:30,6.0
GA,Evening,2018-02-05,Monday,19:00,44.0
FL,Evening,2018-02-05,Monday,21:50,2.0
NY,Evening,2018-02-05,Monday,22:30,3.0
GA,Night,2018-02-05,Monday,23:34,63.0
GA,Midday,2018-02-06,Tuesday,12:30,48.0
FL,Midday,2018-02-06,Tuesday,13:34,88.0
NY,Midday,2018-02-06,Tuesday,14:30,64.0
GA,Evening,2018-02-06,Tuesday,19:00,23.0
FL,Evening,2018-02-06,Tuesday,21:50,49.0
NY,Evening,2018-02-06,Tuesday,22:30,92.0
GA,Night,2018-02-06,Tuesday,23:34,38.0
GA,Midday,2018-02-07,Wednesday,12:30,29.0
FL,Midday,2018-02-07,Wednesday,13:34,3.0
NY,Midday,2018-02-07,Wednesday,14:30,12.0
GA,Evening,2018-02-07,Wednesday,19:00,76.0
FL,Evening,2018-02-07,Wednesday,21:50,35.0
NY,Evening,2018-02-07,Wednesday,22:30,21.0
GA,Night,2018-02-07,Wednesday,23:34,37.0
GA,Midday,2018-02-08,Thursday,12:30,15.0
FL,Midday,2018-02-08,Thursday,13:34,39.0
NY,Midday,2018-02-08,Thursday,14:30,69.0
GA,Evening,2018-02-08,Thursday,19:00,96.0
FL,Evening,2018-02-08,Thursday,21:50,84.0
NY,Evening,2018-02-08,Thursday,22:30,0.0
GA,Night,2018-02-08,Thursday,23:34,62.0
GA,Midday,2018-02-09,Friday,12:30,49.0
FL,Midday,2018-02-09,Friday,13:34,48.0
NY,Midday,2018-02-09,Friday,14:30,72.0
GA,Evening,2018-02-09,Friday,19:00,60.0
FL,Evening,2018-02-09,Friday,21:50,48.0
NY,Evening,2018-02-09,Friday,22:30,63.0
GA,Night,2018-02-09,Friday,23:34,11.0
GA,Midday,2018-02-10,Saturday,12:30,25.0
FL,Midday,2018-02-10,Saturday,13:34,74.0
NY,Midday,2018-02-10,Saturday,14:30,79.0
GA,Evening,2018-02-10,Saturday,19:00,70.0
FL,Evening,2018-02-10,Saturday,21:50,66.0
NY,Evening,2018-02-10,Saturday,22:30,96.0
GA,Night,2018-02-10,Saturday,23:34,91.0
GA,Midday,2018-02-11,Sunday,12:30,94.0
FL,Midday,2018-02-11,Sunday,13:34,94.0
NY,Midday,2018-02-11,Sunday,14:30,13.0
GA,Evening,2018-02-11,Sunday,19:00,27.0
FL,Evening,2018-02-11,Sunday,21:50,92.0
NY,Evening,2018-02-11,Sunday,22:30,96.0
GA,Night,2018-02-11,Sunday,23:34,70.0
GA,Midday,2018-02-12,Monday,12:30,29.0
FL,Midday,2018-02-12,Monday,13:34,49.0
NY,Midday,2018-02-12,Monday,14:30,58.0
GA,Evening,2018-02-12,Monday,19:00,72.0
FL,Evening,2018-02-12,Monday,21:50,42.0
NY,Evening,2018-02-12,Monday,22:30,71.0
GA,Night,2018-02-12,Monday,23:34,48.0
GA,Midday,2018-02-13,Tuesday,12:30,57.0
FL,Midday,2018-02-13,Tuesday,13:34,39.0
NY,Midday,2018-02-13,Tuesday,14:30,74.0
GA,Evening,2018-02-13,Tuesday,19:00,24.0
FL,Evening,2018-02-13,Tuesday,21:50,20.0
NY,Evening,2018-02-13,Tuesday,22:30,55.0
GA,Night,2018-02-13,Tuesday,23:34,70.0
GA,Midday,2018-02-14,Wednesday,12:30,11.0
FL,Midday,2018-02-14,Wednesday,13:34,24.0
NY,Midday,2018-02-14,Wednesday,14:30,91.0
GA,Evening,2018-02-14,Wednesday,19:00,82.0
FL,Evening,2018-02-14,Wednesday,21:50,24.0
NY,Evening,2018-02-14,Wednesday,22:30,22.0
GA,Night,2018-02-14,Wednesday,23:34,71.0
GA,Midday,2018-02-15,Thursday,12:30,74.0
FL,Midday,2018-02-15,Thursday,13:34,60.0
NY,Midday,2018-02-15,Thursday,14:30,20.0
GA,Evening,2018-02-15,Thursday,19:00,99.0
FL,Evening,2018-02-15,Thursday,21:50,70.0
NY,Evening,2018-02-15,Thursday,22:30,5.0
GA,Night,2018-02-15,Thursday,23:34,69.0
GA,Midday,2018-02-16,Friday,12:30,75.0
FL,Midday,2018-02-16,Friday,13:34,60.0
NY,Midday,2018-02-16,Friday,14:30,95.0
GA,Evening,2018-02-16,Friday,19:00,4.0
FL,Evening,2018-02-16,Friday,21:50,35.0
NY,Evening,2018-02-16,Friday,22:30,98.0
GA,Night,2018-02-16,Friday,23:34,91.0
GA,Midday,2018-02-17,Saturday,12:30,96.0
FL,Midday,2018-02-17,Saturday,13:34,65.0
NY,Midday,2018-02-17,Saturday,14:30,5.0
GA,Evening,2018-02-17,Saturday,19:00,59.0
FL,Evening,2018-02-17,Saturday,21:50,81.0
NY,Evening,2018-02-17,Saturday,22:30,97.0
GA,Night,2018-02-17,Saturday,23:34,49.0
GA,Midday,2018-02-18,Sunday,12:30,11.0
FL,Midday,2018-02-18,Sunday,13:34,76.0
NY,Midday,2018-02-18,Sunday,14:30,83.0
GA,Evening,2018-02-18,Sunday,19:00,63.0
FL,Evening,2018-02-18,Sunday,21:50,9.0
NY,Evening,2018-02-18,Sunday,22:30,50.0
GA,Night,2018-02-18,Sunday,23:34,9.0
GA,Midday,2018-02-19,Monday,12:30,83.0
FL,Midday,2018-02-19,Monday,13:34,78.0
NY,Midday,2018-02-19,Monday,14:30,22.0
GA,Evening,2018-02-19,Monday,19:00,42.0
FL,Evening,2018-02-19,Monday,21:50,97.0
NY,Evening,2018-02-19,Monday,22:30,5.0
GA,Night,2018-02-19,Monday,23:34,92.0
GA,Midday,2018-02-20,Tuesday,12:30,36.0
FL,Midday,2018-02-20,Tuesday,13:34,30.0
NY,Midday,2018-02-20,Tuesday,14:30,4.0
GA,Evening,2018-02-20,Tuesday,19:00,54.0
FL,Evening,2018-02-20,Tuesday,21:50,41.0
NY,Evening,2018-02-20,Tuesday,22:30,74.0
GA,Night,2018-02-20,Tuesday,23:34,3.0
GA,Midday,2018-02-21,Wednesday,12:30,27.0
FL,Midday,2018-02-21,Wednesday,13:34,56.0
NY,Midday,2018-02-21,Wednesday,14:30,58.0
GA,Evening,2018-02-21,Wednesday,19:00,92.0
FL,Evening,2018-02-21,Wednesday,21:50,58.0
NY,Evening,2018-02-21,Wednesday,22:30,1.0
GA,Night,2018-02-21,Wednesday,23:34,40.0
GA,Midday,2018-02-22,Thursday,12:30,67.0
FL,Midday,2018-02-22,Thursday,13:34,18.0
NY,Midday,2018-02-22,Thursday,14:30,79.0
GA,Evening,2018-02-22,Thursday,19:00,31.0
FL,Evening,2018-02-22,Thursday,21:50,87.0
NY,Evening,2018-02-22,Thursday,22:30,71.0
GA,Night,2018-02-22,Thursday,23:34,80.0
GA,Midday,2018-02-23,Friday,12:30,62.0
FL,Midday,2018-02-23,Friday,13:34,1.0
NY,Midday,2018-02-23,Friday,14:30,70.0
GA,Evening,2018-02-23,Friday,19:00,75.0
FL,Evening,2018-02-23,Friday,21:50,31.0
NY,Evening,2018-02-23,Friday,22:30,49.0
GA,Night,2018-02-23,Friday,23:34,29.0
GA,Midday,2018-02-24,Saturday,12:30,99.0
FL,Midday,2018-02-24,Saturday,13:34,60.0
NY,Midday,2018-02-24,Saturday,14:30,16.0
GA,Evening,2018-02-24,Saturday,19:00,3.0
FL,Evening,2018-02-24,Saturday,21:50,3.0
NY,Evening,2018-02-24,Saturday,22:30,29.0
GA,Night,2018-02-24,Saturday,23:34,41.0
GA,Midday,2018-02-25,Sunday,12:30,94.0
FL,Midday,2018-02-25,Sunday,13:34,59.0
NY,Midday,2018-02-25,Sunday,14:30,33.0
GA,Evening,2018-02-25,Sunday,19:00,18.0
FL,Evening,2018-02-25,Sunday,21:50,21.0
NY,Evening,2018-02-25,Sunday,22:30,56.0
GA,Night,2018-02-25,Sunday,23:34,71.0
GA,Midday,2018-02-26,Monday,12:30,47.0
FL,Midday,2018-02-26,Monday,13:34,33.0
NY,Midday,2018-02-26,Monday,14:30,93.0
GA,Evening,2018-02-26,Monday,19:00,68.0
FL,Evening,2018-02-26,Monday,21:50,16.0
NY,Evening,2018-02-26,Monday,22:30,98.0
GA,Night,2018-02-26,Monday,23:34,44.0
GA,Midday,2018-02-27,Tuesday,12:30,65.0
FL,Midday,2018-02-27,Tuesday,13:34,27.0
NY,Midday,2018-02-27,Tuesday,14:30,91.0
GA,Evening,2018-02-27,Tuesday,19:00,68.0
FL,Evening,2018-02-27,Tuesday,21:50,80.0
NY,Evening,2018-02-27,Tuesday,22:30,60.0
GA,Night,2018-02-27,Tuesday,23:34,97.0
GA,Midday,2018-02-28,Wednesday,12:30,22.0
FL,Midday,2018-02-28,Wednesday,13:34,5.0
NY,Midday,2018-02-28,Wednesday,14:30,95.0
GA,Evening,2018-02-28,Wednesday,19:00,63.0
FL,Evening,2018-02-28,Wednesday,21:50,34.0
NY,Evening,2018-02-28,Wednesday,22:30,88.0
GA,Night,2018-02-28,Wednesday,23:34,83.0
GA,Midday,2018-03-01,Thursday,12:30,91.0
FL,Midday,2018-03-01,Thursday,13:34,70.0
NY,Midday,2018-03-01,Thursday,14:30,32.0
GA,Evening,2018-03-01,Thursday,19:00,31.0
FL,Evening,2018-03-01,Thursday,21:50,26.0
NY,Evening,2018-03-01,Thursday,22:30,13.0
GA,Night,2018-03-01,Thursday,23:34,53.0
GA,Midday,2018-03-02,Friday,12:30,77.0
FL,Midday,2018-03-02,Friday,13:34,19.0
NY,Midday,2018-03-02,Friday,14:30,59.0
GA,Evening,2018-03-02,Friday,19:00,81.0
FL,Evening,2018-03-02,Friday,21:50,22.0
NY,Evening,2018-03-02,Friday,22:30,3.0
GA,Night,2018-03-02,Friday,23:34,62.0
GA,Midday,2018-03-03,Saturday,12:30,56.0
FL,Midday,2018-03-03,Saturday,13:34,37.0
NY,Midday,2018-03-03,Saturday,14:30,42.0
GA,Evening,2018-03-03,Saturday,19:00,83.0
FL,Evening,2018-03-03,Saturday,21:50,63.0
NY,Evening,2018-03-03,Saturday,22:30,68.0
GA,Night,2018-03-03,Saturday,23:34,19.0
GA,Midday,2018-03-04,Sunday,12:30,91.0
FL,Midday,2018-03-04,Sunday,13:34,17.0
NY,Midday,2018-03-04,Sunday,14:30,95.0
GA,Evening,2018-03-04,Sunday,19:00,54.0
FL,Evening,2018-03-04,Sunday,21:50,70.0
NY,Evening,2018-03-04,Sunday,22:30,27.0
GA,Night,2018-03-04,Sunday,23:34,54.0
GA,Midday,2018-03-05,Monday,12:30,99.0
FL,Midday,2018-03-05,Monday,13:34,74.0
NY,Midday,2018-03-05,Monday,14:30,62.0
GA,Evening,2018-03-05,Monday,19:00,22.0
FL,Evening,2018-03-05,Monday,21:50,45.0
NY,Evening,2018-03-05,Monday,22:30,86.0
GA,Night,2018-03-05,Monday,23:34,57.0
GA,Midday,2018-03-06,Tuesday,12:30,36.0
FL,Midday,2018-03-06,Tuesday,13:34,75.0
NY,Midday,2018-03-06,Tuesday,14:30,63.0
GA,Evening,2018-03-06,Tuesday,19:00,29.0
FL,Evening,2018-03-06,Tuesday,21:50,8.0
NY,Evening,2018-03-06,Tuesday,22:30,68.0
GA,Night,2018-03-06,Tuesday,23:34,20.0
GA,Midday,2018-03-07,Wednesday,12:30,36.0
FL,Midday,2018-03-07,Wednesday,13:34,25.0
NY,Midday,2018-03-07,Wednesday,14:30,10.0
GA,Evening,2018-03-07,Wednesday,19:00,70.0
FL,Evening,2018-03-07,Wednesday,21:50,76.0
NY,Evening,2018-03-07,Wednesday,22:30,6.0
GA,Night,2018-03-07,Wednesday,23:34,47.0
GA,Midday,2018-03-08,Thursday,12:30,71.0
FL,Midday,2018-03-08,Thursday,13:34,69.0
NY,Midday,2018-03-08,Thursday,14:30,36.0
GA,Evening,2018-03-08,Thursday,19:00,53.0
FL,Evening,2018-03-08,Thursday,21:50,29.0
NY,Evening,2018-03-08,Thursday,22:30,31.0
GA,Night,2018-03-08,Thursday,23:34,71.0
GA,Midday,2018-03-09,Friday,12:30,98.0
FL,Midday,2018-03-09,Friday,13:34,29.0
NY,Midday,2018-03-09,Friday,14:30,17.0
GA,Evening,2018-03-09,Friday,19:00,53.0
FL,Evening,2018-03-09,Friday,21:50,99.0
NY,Evening,2018-03-09,Friday,22:30,89.0
GA,Night,2018-03-09,Friday,23:34,64.0
GA,Midday,2018-03-10,Saturday,12:30,34.0
FL,Midday,2018-03-10,Saturday,13:34,0.0
NY,Midday,2018-03-10,Saturday,14:30,65.0
GA,Evening,2018-03-10,Saturday,19:00,48.0
FL,Evening,2018-03-10,Saturday,21:50,58.0
NY,Evening,2018-03-10,Saturday,22:30,65.0
GA,Night,2018-03-10,Saturday,23:34,48.0
GA,Midday,2018-03-11,Sunday,12:30,6.0
FL,Midday,2018-03-11,Sunday,13:34,39.0
NY,Midday,2018-03-11,Sunday,14:30,90.0
GA,Evening,2018-03-11,Sunday,19:00,17.0
FL,Evening,2018-03-11,Sunday,21:50,3.0
NY,Evening,2018-03-11,Sunday,22:30,96.0
GA,Night,2018-03-11,Sunday,23:34,60.0
GA,Midday,2018-03-12,Monday,12:30,38.0
FL,Midday,2018-03-12,Monday,13:34,96.0
NY,Midday,2018-03-12,Monday,14:30,69.0
GA,Evening,2018-03-12,Monday,19:00,48.0
FL,Evening,2018-03-12,Monday,21:50,26.0
NY,Evening,2018-03-12,Monday,22:30,81.0
GA,Night,2018-03-12,Monday,23:34,85.0
GA,Midday,2018-03-13,Tuesday,12:30,90.0
FL,Midday,2018-03-13,Tuesday,13:34,18.0
NY,Midday,2018-03-13,Tuesday,14:30,49.0
GA,Evening,2018-03-13,Tuesday,19:00,49.0
FL,Evening,2018-03-13,Tuesday,21:50,78.0
NY,Evening,2018-03-13,Tuesday,22:30,50.0
GA,Night,2018-03-13,Tuesday,23:34,90.0
GA,Midday,2018-03-14,Wednesday,12:30,73.0
FL,Midday,2018-03-14,Wednesday,13:34,47.0
NY,Midday,2018-03-14,Wednesday,14:30,55.0
GA,Evening,2018-03-14,Wednesday,19:00,1.0
FL,Evening,2018-03-14,Wednesday,21:50,17.0
NY,Evening,2018-03-14,Wednesday,22:30,28.0
GA,Night,2018-03-14,Wednesday,23:34,63.0
GA,Midday,2018-03-15,Thursday,12:30,12.0
FL,Midday,2018-03-15,Thursday,13:34,73.0
NY,Midday,2018-03-15,Thursday,14:30,88.0
GA,Evening,2018-03-15,Thursday,19:00,21.0
FL,Evening,2018-03-15,Thursday,21:50,52.0
NY,Evening,2018-03-15,Thursday,22:30,12.0
GA,Night,2018-03-15,Thursday,23:34,45.0
